,date_time,F_actual,OPmode,OPstate,RPM_actual,currenttoolnum,cuttingTime,cycletime,executionFlag,feedF,feedratio,inspectionData,line_name,machine_num,operatingTime,poweronTime,shop_name,spindle_load,spindle_temp,spindleratio,tool_current_life_01,tool_current_life_02,tool_current_life_03,tool_current_life_04,tool_current_life_05,tool_current_life_11,tool_current_life_12,tool_current_life_13,tool_current_life_14,tool_current_life_15,tool_preset_life_01,tool_preset_life_02,tool_preset_life_03,tool_preset_life_04,tool_preset_life_05,tool_preset_life_11,tool_preset_life_12,tool_preset_life_13,tool_preset_life_14,tool_preset_life_15,workcount,x_pos,y_pos,z_pos
71,20191027053008.848,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,,,,,,,16797.0,332052.0,-292847.0,-204553.0
72,20191027053008.864,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,2.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,,,,,,16797.0,332052.0,-292847.0,-204553.0
73,20191027053008.879,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,,,,,,16797.0,332052.0,-292847.0,-204553.0
74,20191027053008.926,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,,,,,16797.0,332052.0,-292847.0,-204553.0
75,20191027053008.973,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,,,,,16797.0,332052.0,-292847.0,-204553.0
76,20191027053008.989,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,,,,16797.0,332052.0,-292847.0,-204553.0
77,20191027053009.004,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,,,,16797.0,343252.0,-292878.0,-204553.0
78,20191027053009.035,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,,,16797.0,343252.0,-292878.0,-204553.0
79,20191027053009.067,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,,,16797.0,343252.0,-292878.0,-204553.0
80,20191027053009.082,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,0.0,,16797.0,343252.0,-292878.0,-204553.0
81,20191027053009.098,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,0.0,,16797.0,343252.0,-292878.0,-204553.0
82,20191027053009.114,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,0.0,0.0,16797.0,343252.0,-292878.0,-204553.0
83,20191027053009.129,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,0.0,0.0,16797.0,343252.0,-292878.0,-204553.0
84,20191027053009.176,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,275.0,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,0.0,0.0,16797.0,343252.0,-292878.0,-204553.0
85,20191027053009.207,2999.0,,,4997.0,2.0,21908553.0,39.0,2.0,,2999.0,,,,14567652.0,80112600.0,,3.0,,,275.0,,,,,,,,,,1500.0,900.0,400.0,400.0,400.0,2000.0,0.0,0.0,0.0,0.0,16797.0,352852.0,-292878.0,-204553.0
