,date_time,F_actual,OPmode,OPstate,RPM_actual,currenttoolnum,cuttingTime,cycletime,executionFlag,feedF,feedratio,inspectionData,line_name,machine_num,operatingTime,poweronTime,shop_name,spindle_load,spindle_temp,spindleratio,tool_current_life_01,tool_current_life_02,tool_current_life_03,tool_current_life_04,tool_current_life_05,tool_current_life_11,tool_current_life_12,tool_current_life_13,tool_current_life_14,tool_current_life_15,tool_preset_life_01,tool_preset_life_02,tool_preset_life_03,tool_preset_life_04,tool_preset_life_05,tool_preset_life_11,tool_preset_life_12,tool_preset_life_13,tool_preset_life_14,tool_preset_life_15,workcount,x_pos,y_pos,z_pos
111,20191027053010.035,,,,4997.0,,,,,,2999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,20191027053010.051,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,20191027053010.082,2999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,20191027053010.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396040.0,-285840.0,-204553.0
115,20191027053010.176,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,20191027053010.207,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,20191027053010.239,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
118,20191027053010.270,,,,,,,,,,,,,,14567654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,20191027053010.285,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,20191027053010.301,,,,,,,,,,,,,,,80112600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,20191027053010.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402944.0,-277116.0,-204553.0
122,20191027053010.379,,,,,,21908555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,20191027053010.426,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,20191027053010.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16797.0,,,
125,20191027053010.489,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
126,20191027053010.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,
127,20191027053010.535,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,20191027053010.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,
129,20191027053010.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406185.0,-264826.0,-204553.0
130,20191027053010.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,
131,20191027053010.645,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,20191027053010.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
133,20191027053010.692,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,20191027053010.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,
135,20191027053010.739,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,20191027053010.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,
